A00,Cholera
T22099,Burn of first degree of left axilla
T2210,Burn of first degree of unspecified axilla
T22111,Burn of first degree of right shoulder
T22112,Burn of first degree of left shoulder
T22119,Burn of first degree of unspecified shoulder
T22121,Burn of first degree of right scapular region
T22122,Burn of first degree of left scapular region
T22129,Burn of first degree of unspecified scapular region
T22131,"Burn of first degree of multiple sites of right shoulder and upper limb, except wrist and hand"
T22132,"Burn of first degree of multiple sites of left shoulder and upper limb, except wrist and hand"
T22139,"Burn of first degree of multiple sites of unspecified shoulder and upper limb, except wrist and hand"
T22141,"Burn of second degree of shoulder and upper limb, except wrist and hand, unspecified site"
T22142,Burn of second degree of right forearm
T22149,Burn of second degree of left forearm
T22151,Burn of second degree of unspecified forearm
T22152,Burn of second degree of right elbow
T22159,Burn of second degree of left elbow
T22161,Burn of second degree of unspecified elbow
T22162,Burn of second degree of right upper arm
T22169,Burn of second degree of left upper arm
T22191,Burn of second degree of unspecified upper arm
T22192,Burn of second degree of right axilla
T22199,Burn of second degree of left axilla
T2220,Burn of second degree of unspecified axilla
T22211,Burn of second degree of right shoulder
T22212,Burn of second degree of left shoulder
T22219,Burn of second degree of unspecified shoulder
T22221,Burn of second degree of right scapular region
T22222,Burn of second degree of left scapular region
T22229,Burn of second degree of unspecified scapular region
T22231,"Burn of second degree of multiple sites of right shoulder and upper limb, except wrist and hand"
T22232,"Burn of second degree of multiple sites of left shoulder and upper limb, except wrist and hand"
T22239,"Burn of second degree of multiple sites of unspecified shoulder and upper limb, except wrist and hand"
T22241,"Burn of third degree of shoulder and upper limb, except wrist and hand, unspecified site"
T22242,Burn of third degree of right forearm
T22249,Burn of third degree of left forearm
T22251,Burn of third degree of unspecified forearm
T22252,Burn of third degree of right elbow
T22259,Burn of third degree of left elbow
T22261,Burn of third degree of unspecified elbow
T22262,Burn of third degree of right upper arm
T22269,Burn of third degree of left upper arm
T22291,Burn of third degree of unspecified upper arm
T22292,Burn of third degree of right axilla
T22299,Burn of third degree of left axilla
T2230,Burn of third degree of unspecified axilla
T22311,Burn of third degree of right shoulder
T22312,Burn of third degree of left shoulder
T22319,Burn of third degree of unspecified shoulder
T22321,Burn of third degree of right scapular region
T22322,Burn of third degree of left scapular region
T22329,Burn of third degree of unspecified scapular region
T22331,"Burn of third degree of multiple sites of right shoulder and upper limb, except wrist and hand"
T22332,"Burn of third degree of multiple sites of left shoulder and upper limb, except wrist and hand"
T22339,"Burn of third degree of multiple sites of unspecified shoulder and upper limb, except wrist and hand"
T22341,"Corrosion of unspecified degree of shoulder and upper limb, except wrist and hand, unspecified site"
T22342,Corrosion of unspecified degree of right forearm
T22349,Corrosion of unspecified degree of left forearm
T22351,Corrosion of unspecified degree of unspecified forearm
T22352,Corrosion of unspecified degree of right elbow
T22359,Corrosion of unspecified degree of left elbow
T22361,Corrosion of unspecified degree of unspecified elbow
T22362,Corrosion of unspecified degree of right upper arm
T22369,Corrosion of unspecified degree of left upper arm
T22391,Corrosion of unspecified degree of unspecified upper arm
T22392,Corrosion of unspecified degree of right axilla
T22399,Corrosion of unspecified degree of left axilla
T2240,Corrosion of unspecified degree of unspecified axilla
T22411,Corrosion of unspecified degree of right shoulder
T22412,Corrosion of unspecified degree of left shoulder
T22419,Corrosion of unspecified degree of unspecified shoulder
T22421,Corrosion of unspecified degree of right scapular region
T22422,Corrosion of unspecified degree of left scapular region
T22429,Corrosion of unspecified degree of unspecified scapular region
T22431,"Corrosion of unspecified degree of multiple sites of right shoulder and upper limb, except wrist and hand"
T22432,"Corrosion of unspecified degree of multiple sites of left shoulder and upper limb, except wrist and hand"
T22439,"Corrosion of unspecified degree of multiple sites of unspecified shoulder and upper limb, except wrist and hand"
T22441,"Corrosion of first degree of shoulder and upper limb, except wrist and hand unspecified site"
T22442,Corrosion of first degree of right forearm
T22449,Corrosion of first degree of left forearm
T22451,Corrosion of first degree of unspecified forearm
T22452,Corrosion of first degree of right elbow
T22459,Corrosion of first degree of left elbow
T22461,Corrosion of first degree of unspecified elbow
T22462,Corrosion of first degree of right upper arm
T22469,Corrosion of first degree of left upper arm
T22491,Corrosion of first degree of unspecified upper arm
T22492,Corrosion of first degree of right axilla
T22499,Corrosion of first degree of left axilla
T2250,Corrosion of first degree of unspecified axilla
T22511,Corrosion of first degree of right shoulder
T22512,Corrosion of first degree of left shoulder
T22519,Corrosion of first degree of unspecified shoulder
T22521,Corrosion of first degree of right scapular region
T22522,Corrosion of first degree of left scapular region
T22529,Corrosion of first degree of unspecified scapular region
T22531,"Corrosion of first degree of multiple sites of right shoulder and upper limb, except wrist and hand"
T22532,"Corrosion of first degree of multiple sites of left shoulder and upper limb, except wrist and hand"
T22539,"Corrosion of first degree of multiple sites of unspecified shoulder and upper limb, except wrist and hand"
T22541,"Corrosion of second degree of shoulder and upper limb, except wrist and hand, unspecified site"
T22542,Corrosion of second degree of right forearm
T22549,Corrosion of second degree of left forearm
T22551,Corrosion of second degree of unspecified forearm
T22552,Corrosion of second degree of right elbow
T22559,Corrosion of second degree of left elbow
T22561,Corrosion of second degree of unspecified elbow
T22562,Corrosion of second degree of right upper arm
T22569,Corrosion of second degree of left upper arm
T22591,Corrosion of second degree of unspecified upper arm
T22592,Corrosion of second degree of right axilla
T22599,Corrosion of second degree of left axilla
T2260,Corrosion of second degree of unspecified axilla
T22611,Corrosion of second degree of right shoulder
T22612,Corrosion of second degree of left shoulder
T22619,Corrosion of second degree of unspecified shoulder
T22621,Corrosion of second degree of right scapular region
T22622,Corrosion of second degree of left scapular region
T22629,Corrosion of second degree of unspecified scapular region
T22631,"Corrosion of second degree of multiple sites of right shoulder and upper limb, except wrist and hand"
T22632,"Corrosion of second degree of multiple sites of left shoulder and upper limb, except wrist and hand"
T22639,"Corrosion of second degree of multiple sites of unspecified shoulder and upper limb, except wrist and hand"
T22641,"Corrosion of third degree of shoulder and upper limb, except wrist and hand, unspecified site"
T22642,Corrosion of third degree of right forearm
T22649,Corrosion of third degree of left forearm
T22651,Corrosion of third degree of unspecified forearm
T22652,Corrosion of third degree of right elbow
T22659,Corrosion of third degree of left elbow
T22661,Corrosion of third degree of unspecified elbow
T22662,Corrosion of third degree of right upper arm
T22669,Corrosion of third degree of left upper arm
T22691,Corrosion of third degree of unspecified upper arm
T22692,Corrosion of third degree of right axilla
T22699,Corrosion of third degree of left axilla
T2270,Corrosion of third degree of unspecified axilla
T22711,Corrosion of third degree of right shoulder
T22712,Corrosion of third degree of left shoulder
T22719,Corrosion of third degree of unspecified shoulder
T22721,Corrosion of third degree of right scapular region
T22722,Corrosion of third degree of left scapular region
T22729,Corrosion of third degree of unspecified scapular region
T22731,"Corrosion of third degree of multiple sites of right shoulder and upper limb, except wrist and hand"
T22732,"Corrosion of third degree of multiple sites of left shoulder and upper limb, except wrist and hand"
T22739,"Corrosion of third degree of multiple sites of unspecified shoulder and upper limb, except wrist and hand"
T22741,"Burn of unspecified degree of right hand, unspecified site"
T22742,"Burn of unspecified degree of left hand, unspecified site"
T22749,"Burn of unspecified degree of unspecified hand, unspecified site"
T22751,Burn of unspecified degree of right thumb (nail)
T22752,Burn of unspecified degree of left thumb (nail)
T22759,Burn of unspecified degree of unspecified thumb (nail)
T22761,Burn of unspecified degree of single right finger (nail) except thumb
T22762,Burn of unspecified degree of single left finger (nail) except thumb
T22769,Burn of unspecified degree of unspecified single finger (nail) except thumb
T22791,"Burn of unspecified degree of multiple right fingers (nail), not including thumb"
T22792,"Burn of unspecified degree of multiple left fingers (nail), not including thumb"
T22799,"Burn of unspecified degree of unspecified multiple fingers (nail), not including thumb"
T23001,"Burn of unspecified degree of multiple right fingers (nail), including thumb"
T23002,"Burn of unspecified degree of multiple left fingers (nail), including thumb"
T23009,"Burn of unspecified degree of unspecified multiple fingers (nail), including thumb"
